"U.S. Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",5381.0183519653765,5339.119120370105,5435.723362700096,5526.864571487739,5606.649248826245,5655.817403013892,5832.475861289129,5901.613934848631,5962.367718925948,6014.22540627327,6242.142790637177,6140.14665346535,6175.334542501974,6238.981311515794,6339.649569262455,6349.518202041963,6276.190786769994,6344.599009008563,6172.577073334044,5766.803288821144,5919.3031480309355,5769.486395007906,5543.96814210777,5695.771273090721,5745.15033642234,5579.96909558889,5441.178215622986,5400.448470251726,5569.988131120196,5422.431108653538,4862.600333580042,5173.302070628773,5199.773701362284
"Agriculture",551.1448894468841,543.176283974721,543.2422989042367,564.394935164038,567.4861595705836,573.5667235754668,581.4440352022835,566.1147012375114,577.3382438991757,573.4178971115246,566.0652744771055,579.8244874319437,584.8011810307917,582.4131052681839,583.07421526791,581.8133710666623,582.2558719975644,601.2381897069821,593.5546710047779,591.8185908233625,598.9784957054562,592.8596936680801,574.7468740969721,611.154223187597,613.3611242368862,614.8428592195762,608.8668512803424,617.3586433172688,642.4073270938326,620.0582042999072,599.6525268151429,604.7827639650288,593.383142858167
"Industrial processes and product use",368.80448286238664,351.0985760019496,357.5135418104882,357.1109767877847,369.76850560106084,399.19524980966446,412.22162137897294,421.2704390546165,429.30810997249955,427.4718305019263,411.33579646569467,372.2776244663031,375.8644008605425,368.51293972515634,375.0159649317387,371.3144673673114,380.80992204358404,396.3849483761776,375.04568045338436,326.2575657942636,364.67047675792895,375.33970575035653,365.6320092191412,365.65046046387954,374.5865017152137,369.68997391951103,361.6036173497399,362.74171090346186,367.1612605462716,371.8846056010269,367.8769327919356,381.5501609142804,383.18307921120805
"Waste",235.94695553506358,239.2953715551591,239.8724902126375,238.0850537990583,238.73486732072288,233.5579158038588,230.11685973286208,219.9808901719959,209.9722152674768,203.5178327623718,200.33725070965082,195.0681881115722,193.8979894206634,196.979686246747,194.5890074629108,191.991059975324,189.92155908694238,187.6825971721784,185.1751626991164,182.0392801971222,183.0552882515461,174.0805592398454,176.55809817590549,172.8271176132983,172.7533796140879,171.7148545968763,168.3872868684926,170.4783221068972,173.193003331385,175.7549987039625,171.67748227754942,169.1593575263449,166.8694068849434
"Land use, land-use change, and forestry",-976.7359239017361,-989.0083899414562,-1007.3804182876008,-991.3678332970928,-1005.2220254338721,-980.2095273168313,-1011.1567744790176,-985.2651870110047,-996.3426041508596,-968.551394151009,-983.7480441503958,-979.8225471784853,-924.8976432060742,-957.9022827518008,-860.1449248017317,-907.6312558202809,-951.9275864019507,-900.3319091005341,-912.7897644914564,-850.8968303782457,-886.3114630078246,-941.7136002137942,-929.2507226972236,-886.6274588540267,-923.7326175265073,-820.1288988185071,-916.8722234618717,-925.9349003228155,-915.4805445625865,-863.5744455675024,-904.4008028590495,-910.505107730859,-854.2705894471329
"Net total",5560.178755907975,5483.680961960477,5568.971275339858,5695.087703941526,5777.416755884739,5881.927764886051,6045.101603124232,6123.714778301751,6182.643683914241,6250.081572498083,6436.133068139232,6307.494406296683,6405.000470607897,6428.984760004081,6632.183832123282,6587.00584463098,6477.250553496134,6629.572835163367,6413.562822999866,6016.021895257646,6179.695945738042,5970.0527534523935,5731.654400902565,5958.7756155014695,5982.1187244620205,5916.087884506347,5663.163747659689,5625.092246256539,5837.269177529099,5726.554471690933,5097.40647260562,5418.289245303568,5488.938740869469
"Gross total",6536.914679809711,6472.689351901934,6576.351693627459,6686.455537238619,6782.638781318611,6862.137292202882,7056.258377603249,7108.979965312756,7178.9862880651,7218.632966649092,7419.881112289628,7287.316953475169,7329.898113813972,7386.887042755882,7492.328756925013,7494.637100451261,7429.178139898085,7529.904744263901,7326.352587491322,6866.918725635892,7066.007408745866,6911.766353666188,6660.905123599789,6845.403074355496,6905.851341988528,6736.216783324854,6580.035971121561,6551.027146579354,6752.749722091685,6590.128917258435,6001.80727546467,6328.794353034427,6343.209330316602
