Year,State,Light Vehicles, Truck, Bus, Motorcycle
2013,Mississippi,871806,8056,1165240,28433
2013,Missouri,2484904,5458,3145571,184723
2013,Montana,444707,4428,919711,171085
2013,Nebraska,733008,3830,1098191,56224
2013,Nevada,977852,3938,1150631,70675
2013,New Hampshire,625391,2524,707409,73612
2013,New Jersey,3644546,20245,3244441,152111
2013,New Mexico,716439,5460,1095246,65321
2013,New York,5203357,25738,5099921,345118
2013,North Carolina,3495804,31278,4091279,195493
2013,North Dakota,255183,2621,551549,35756
2013,Ohio,4862768,41969,5053364,402264
2013,Oklahoma,1376118,2113,1954898,126883
2013,Oregon,1520784,3178,1990066,89797
2013,Pennsylvania,4809900,54503,5195797,400908
2013,Rhode Island,459393,2115,359392,32252
2013,South Carolina,1750642,18080,2104537,113315
2013,South Dakota,331920,2692,593851,86710
2013,Tennessee,2284326,25810,2977977,163820
2013,Texas,7954906,99482,11672891,443856
2013,Utah,876036,5491,1114015,64970
2013,Vermont,258801,2117,322094,28777
2013,Virginia,3296365,31639,3533323,189689
2013,Washington,2800255,21792,3343720,227073
2013,West Virginia,541900,4526,848948,58021
2013,Wisconsin,2256529,15307,2743545,323378
2013,Wyoming,228731,1194,569217,31397
2014,Alabama,2524145,5397,2721534,115768
2014,Alaska,195389,3498,569456,32090
2014,Arizona,2320664,21042,3065391,180917
2014,Arkansas,989291,11536,1684913,92921
2014,California,14065989,93064,13713822,813771
2014,Colorado,1806485,12033,2813912,188192
2014,Connecticut,1430900,12607,1333621,89332
2014,Delaware,441745,4505,481026,30392.99
2014,District of Columbia,216156,2658,111066,4450.42
2014,Florida,7543890,59978,7342823,558123
2014,Georgia,3567888,41443,4346201,199575
2014,Hawaii,591971,2930,755537,42821
2014,Idaho,608671,3404,1084421,66191
2014,Illinois,4795380,30882,5215943,351298
2014,Indiana,2395759,9075,3385106,222655
2014,Iowa,1349293,8840,2051146,187251
2014,Kansas,978612,3426,1463824,96817
2014,Kentucky,1749979,9690,2277955,111096
2014,Louisiana,1459340,33069,2280283,114242
2014,Maine,471717,3862,667459,51623
2014,Maryland,1989816,11392,1925599,125283
2014,Massachusetts,2438254,13224,2417692,125269.56
2014,Michigan,3445807,8640,4413477,258413
2014,Minnesota,2162403,12700,2810679,237407.51
2014,Mississippi,857667,7910,1173755,28474
2014,Missouri,2231294,5901,2941907,153799
2014,Montana,436581,4494,960861,183894
2014,Nebraska,751544,3931,1139635,52517
2014,Nevada,990113,3970,1174534,71880.18
2014,New Hampshire,559174,2818,672105,76093
2014,New Jersey,3476346,23829,3223962,149963
2014,New Mexico,724099,7048,1134961,64598
2014,New York,5159696,26172,5371542,346210
2014,North Carolina,3474768,31318,4176301,193643
2014,North Dakota,250998,2692,579794,37247
2014,Ohio,4806759,39781,5202048,404770
2014,Oklahoma,1391802,2183,1994416,129405
2014,Oregon,1403517,7619,1918576,88247
2014,Pennsylvania,4711119,54766,5342557,396315
2014,Rhode Island,455520,2118,375254,31870
2014,South Carolina,1754081,17858,2131005,114666
2014,South Dakota,324160,2664,616421,89460
2014,Tennessee,2273513,26029,3031395,164710
2014,Texas,8140321,101845,12189465,445395
2014,Utah,895718,4805,1175959,74091
2014,Vermont,244027,1998,336307,30106
2014,Virginia,3309479,32207,3623181,195230
2014,Washington,2748938,21394,3405328,229823
2014,West Virginia,576821,3427,915666,57278
2014,Wisconsin,2194650,13037,2851317,281151
2014,Wyoming,216594,1319,571211,30982.83
2015,Alabama,2278262,5727,3001316,115114
2015,Alaska,193348,3441,586380,31953
2015,Arizona,2332734,21049,3115726,161138
2015,Arkansas,947789,11813,1720808,91804
